benchmark,solver,configuration,solver time,result,verifier time, verifier result
sat/g2-ACG-15-10p1.cnf,abcdsat_r17,default,1205.52,SAT-VERIFIED,0.0,--
sat/g2-ACG-15-10p1.cnf,bs_glucose,default,1029.7,SAT-VERIFIED,0.0,--
sat/g2-ACG-15-10p1.cnf,cadical-sc17-agile-proof,default,841.391,SAT-VERIFIED,0.0,--
sat/g2-ACG-15-10p1.cnf,cadical-sc17-proof,default,445.668,SAT-VERIFIED,0.0,--
sat/g2-ACG-15-10p1.cnf,Candy,default,581.318,SAT-VERIFIED,0.0,--
sat/g2-ACG-15-10p1.cnf,Candy RSILi,default,0.00862304,UNKNOWN,0.0,--
sat/g2-ACG-15-10p1.cnf,Candy RSILv,default,0.0126801,UNKNOWN,0.0,--
sat/g2-ACG-15-10p1.cnf,Candy SL21,default,577.131,SAT-VERIFIED,0.0,--
sat/g2-ACG-15-10p1.cnf,COMiniSatPS_Pulsar_drup,drup,114.408,SAT-VERIFIED,0.0,--
sat/g2-ACG-15-10p1.cnf,fix-candy,rsili,586.509,SAT-VERIFIED,0.0,--
sat/g2-ACG-15-10p1.cnf,fix-candy,rsilv,589.547,SAT-VERIFIED,0.0,--
sat/g2-ACG-15-10p1.cnf,GHackCOMSPS_drup,ghack_drup,1700.35,SAT-VERIFIED,0.0,--
sat/g2-ACG-15-10p1.cnf,glucose-3.0+width,default,1175.47,SAT-VERIFIED,0.0,--
sat/g2-ACG-15-10p1.cnf,glucose-4.1,default,663.233,SAT-VERIFIED,0.0,--
sat/g2-ACG-15-10p1.cnf,glu_vc,default,890.978,SAT-VERIFIED,0.0,--
sat/g2-ACG-15-10p1.cnf,lingeling-bbe,default,459.1,SAT-VERIFIED,0.0,--
sat/g2-ACG-15-10p1.cnf,MapleCOMSPS_CHB_VSIDS_drup,CHB_VSIDS_drup,373.12,SAT-VERIFIED,0.0,--
sat/g2-ACG-15-10p1.cnf,MapleCOMSPS_LRB_VSIDS_2_drup,LRB_VSIDS_2_drup,308.541,SAT-VERIFIED,0.0,--
sat/g2-ACG-15-10p1.cnf,MapleCOMSPS_LRB_VSIDS_drup,LRB_VSIDS_drup,284.369,SAT-VERIFIED,0.0,--
sat/g2-ACG-15-10p1.cnf,Maple_LCM,default,264.608,SAT-VERIFIED,0.0,--
sat/g2-ACG-15-10p1.cnf,Maple_LCM_Dist,default,654.616,SAT-VERIFIED,0.0,--
sat/g2-ACG-15-10p1.cnf,MapleLRB_LCM,default,257.55,SAT-VERIFIED,0.0,--
sat/g2-ACG-15-10p1.cnf,MapleLRB_LCMoccRestart,default,287.114,SAT-VERIFIED,0.0,--
sat/g2-ACG-15-10p1.cnf,Riss7,BVE_DRAT,1604.73,SAT-VERIFIED,0.0,--
sat/g2-ACG-15-10p1.cnf,Riss7,noPP_DRAT,1813.56,SAT-VERIFIED,0.0,--
sat/g2-ACG-15-10p1.cnf,satUZK-seq,ge,1596.64,SAT-VERIFIED,0.0,--
sat/g2-ACG-15-10p1.cnf,satUZK-seq,me,1823.52,SAT-VERIFIED,0.0,--
sat/g2-ACG-15-10p1.cnf,satUZK-seq,sge,1271.96,SAT-VERIFIED,0.0,--
sat/g2-ACG-15-10p1.cnf,satUZK-seq,sme,1332.81,SAT-VERIFIED,0.0,--
sat/g2-ACG-15-10p1.cnf,tch_glucose1,default,740.373,SAT-VERIFIED,0.0,--
sat/g2-ACG-15-10p1.cnf,tch_glucose2,default,800.714,SAT-VERIFIED,0.0,--
sat/g2-ACG-15-10p1.cnf,tch_glucose3,default,735.43,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-10p1.cnf,abcdsat_r17,default,1699.04,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-10p1.cnf,bs_glucose,default,1971.71,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-10p1.cnf,cadical-sc17-agile-proof,default,1130.99,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-10p1.cnf,cadical-sc17-proof,default,792.017,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-10p1.cnf,Candy,default,2167.66,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-10p1.cnf,Candy RSILi,default,0.0113409,UNKNOWN,0.0,--
sat/g2-ACG-20-10p1.cnf,Candy RSILv,default,0.00795404,UNKNOWN,0.0,--
sat/g2-ACG-20-10p1.cnf,Candy SL21,default,2397.18,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-10p1.cnf,COMiniSatPS_Pulsar_drup,drup,3457.14,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-10p1.cnf,fix-candy,rsili,2176.8,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-10p1.cnf,fix-candy,rsilv,2177.9,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-10p1.cnf,GHackCOMSPS_drup,ghack_drup,4060.19,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-10p1.cnf,glucose-3.0+width,default,2304.82,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-10p1.cnf,glucose-4.1,default,1936.96,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-10p1.cnf,glu_vc,default,1600.6,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-10p1.cnf,lingeling-bbe,default,374.308,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-10p1.cnf,MapleCOMSPS_CHB_VSIDS_drup,CHB_VSIDS_drup,769.212,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-10p1.cnf,MapleCOMSPS_LRB_VSIDS_2_drup,LRB_VSIDS_2_drup,483.23,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-10p1.cnf,MapleCOMSPS_LRB_VSIDS_drup,LRB_VSIDS_drup,1002.42,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-10p1.cnf,Maple_LCM,default,928.167,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-10p1.cnf,Maple_LCM_Dist,default,1064.29,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-10p1.cnf,MapleLRB_LCM,default,553.112,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-10p1.cnf,MapleLRB_LCMoccRestart,default,699.017,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-10p1.cnf,Riss7,BVE_DRAT,2532.62,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-10p1.cnf,Riss7,noPP_DRAT,3315.4,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-10p1.cnf,satUZK-seq,ge,4472.78,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-10p1.cnf,satUZK-seq,me,1599.97,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-10p1.cnf,satUZK-seq,sge,1223.73,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-10p1.cnf,satUZK-seq,sme,3505.83,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-10p1.cnf,tch_glucose1,default,3456.16,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-10p1.cnf,tch_glucose2,default,3639.7,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-10p1.cnf,tch_glucose3,default,3408.2,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-5p1.cnf,abcdsat_r17,default,604.387,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-5p1.cnf,bs_glucose,default,767.982,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-5p1.cnf,cadical-sc17-agile-proof,default,181.411,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-5p1.cnf,cadical-sc17-proof,default,246.317,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-5p1.cnf,Candy,default,704.793,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-5p1.cnf,Candy RSILi,default,0.0110699,UNKNOWN,0.0,--
sat/g2-ACG-20-5p1.cnf,Candy RSILv,default,0.00750998,UNKNOWN,0.0,--
sat/g2-ACG-20-5p1.cnf,Candy SL21,default,700.812,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-5p1.cnf,COMiniSatPS_Pulsar_drup,drup,467.152,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-5p1.cnf,fix-candy,rsili,721.76,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-5p1.cnf,fix-candy,rsilv,726.746,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-5p1.cnf,GHackCOMSPS_drup,ghack_drup,1059.29,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-5p1.cnf,glucose-3.0+width,default,405.23,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-5p1.cnf,glucose-4.1,default,494.688,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-5p1.cnf,glu_vc,default,356.427,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-5p1.cnf,lingeling-bbe,default,367.042,SAT-VERIFIED,0.0,--
sat/g2-ACG-20-5p1.cnf,MapleCOMSPS_CHB_VSIDS_drup,CHB_VSIDS_drup,140.382,SAT-VERIFIED,0.0,--
